songId,title,artist,bpm,category,imageName,isNew,isLocked,searchAcronyms,sheetType,difficulty,level,internalLevelValue,noteDesigner,noteTap,noteHold,noteSlide,noteTouch,noteBreak,noteTotal,regionJp,regionIntl,regionUsa,regionCn,isSpecial,version,internalId,releaseDate
109,腐れ外道とチョコレゐト,ピノキオP,260,niconico & VOCALOID,,false,,,std,basic,6,6,-,180,23,2,,1,206,,,,,,maimai PLUS,109,
109,腐れ外道とチョコレゐト,ピノキオP,260,niconico & VOCALOID,,false,,,std,advanced,9,9,-,284,35,9,,6,334,,,,,,maimai PLUS,109,
109,腐れ外道とチョコレゐト,ピノキオP,260,niconico & VOCALOID,,false,,,std,expert,12+,12.7,ニャイン,416,54,3,,12,485,,,,,,maimai PLUS,109,
109,腐れ外道とチョコレゐト,ピノキオP,260,niconico & VOCALOID,,false,,,std,master,13+,13.7,はっぴー,435,92,62,,9,598,,,,,,maimai PLUS,109,
110,Quartet Theme [Reborn],COSIO(ZUNTATA/TAITO)「カルテット」,137,其他游戏,,false,,,std,basic,3,3,-,98,12,4,,5,119,,,,,,maimai PLUS,110,
110,Quartet Theme [Reborn],COSIO(ZUNTATA/TAITO)「カルテット」,137,其他游戏,,false,,,std,advanced,7,7.3,-,205,43,4,,13,265,,,,,,maimai PLUS,110,
110,Quartet Theme [Reborn],COSIO(ZUNTATA/TAITO)「カルテット」,137,其他游戏,,false,,,std,expert,11+,11.9,譜面-100号,174,44,69,,3,290,,,,,,maimai PLUS,110,
110,Quartet Theme [Reborn],COSIO(ZUNTATA/TAITO)「カルテット」,137,其他游戏,,false,,,std,master,12+,12.8,はっぴー,370,96,35,,1,502,,,,,,maimai PLUS,110,
111,Sky High [Reborn],大久保 博(BNGI)「デイトナ USA」,144,其他游戏,,false,,,std,basic,5,5,-,123,2,6,,4,135,,,,,,maimai PLUS,111,
111,Sky High [Reborn],大久保 博(BNGI)「デイトナ USA」,144,其他游戏,,false,,,std,advanced,8,8.2,-,251,19,6,,9,285,,,,,,maimai PLUS,111,
111,Sky High [Reborn],大久保 博(BNGI)「デイトナ USA」,144,其他游戏,,false,,,std,expert,10+,10.7,譜面-100号,244,79,15,,2,340,,,,,,maimai PLUS,111,
111,Sky High [Reborn],大久保 博(BNGI)「デイトナ USA」,144,其他游戏,,false,,,std,master,12+,12.7,mai-Star,316,73,36,,3,428,,,,,,maimai PLUS,111,
111,Sky High [Reborn],大久保 博(BNGI)「デイトナ USA」,144,其他游戏,,false,,,std,remaster,12+,12.7,Techno Kitchen,475,43,64,,29,611,,,,,,maimai PLUS,111,
112,Like the Wind [Reborn],sampling masters MEGA「パワードリフト」,200,其他游戏,,false,,,std,basic,6,6,-,176,11,8,,11,206,,,,,,maimai PLUS,112,
112,Like the Wind [Reborn],sampling masters MEGA「パワードリフト」,200,其他游戏,,false,,,std,advanced,9,9,-,320,20,4,,18,362,,,,,,maimai PLUS,112,
112,Like the Wind [Reborn],sampling masters MEGA「パワードリフト」,200,其他游戏,,false,,,std,expert,11,11.4,譜面-100号,475,22,15,,27,539,,,,,,maimai PLUS,112,
112,Like the Wind [Reborn],sampling masters MEGA「パワードリフト」,200,其他游戏,,false,,,std,master,14,14,ニャイン,535,20,70,,54,679,,,,,,maimai PLUS,112,
113,YA･DA･YO [Reborn],古代 祐三「ファンタジーゾーン」,105,其他游戏,,false,,,std,basic,4,4,-,88,10,4,,4,106,,,,,,maimai PLUS,113,
113,YA･DA･YO [Reborn],古代 祐三「ファンタジーゾーン」,105,其他游戏,,false,,,std,advanced,8+,8.7,-,225,6,11,,4,246,,,,,,maimai PLUS,113,
113,YA･DA･YO [Reborn],古代 祐三「ファンタジーゾーン」,105,其他游戏,,false,,,std,expert,13,13,譜面-100号,515,1,8,,10,534,,,,,,maimai PLUS,113,
113,YA･DA･YO [Reborn],古代 祐三「ファンタジーゾーン」,105,其他游戏,,false,,,std,master,13,13.4,譜面-100号,473,16,10,,14,513,,,,,,maimai PLUS,113,
114,Space Harrier Main Theme [Reborn],佐野 信義「スペースハリアー」,125,其他游戏,,false,,,std,basic,6,6,-,148,4,9,,5,166,,,,,,maimai PLUS,114,
114,Space Harrier Main Theme [Reborn],佐野 信義「スペースハリアー」,125,其他游戏,,false,,,std,advanced,7+,7.6,-,151,24,10,,1,186,,,,,,maimai PLUS,114,
114,Space Harrier Main Theme [Reborn],佐野 信義「スペースハリアー」,125,其他游戏,,false,,,std,expert,11+,11.7,譜面-100号,47,147,7,,7,208,,,,,,maimai PLUS,114,
114,Space Harrier Main Theme [Reborn],佐野 信義「スペースハリアー」,125,其他游戏,,false,,,std,master,13+,13.6,チャン@DP皆伝,421,23,6,,14,464,,,,,,maimai PLUS,114,
115,DADDY MULK -Groove remix-,Performed by SEGA Sound Unit [H.],154,其他游戏,,false,,,std,basic,5,5,-,122,7,7,,1,137,,,,,,maimai GreeN,115,
115,DADDY MULK -Groove remix-,Performed by SEGA Sound Unit [H.],154,其他游戏,,false,,,std,advanced,7,7.5,-,273,13,12,,12,310,,,,,,maimai GreeN,115,
115,DADDY MULK -Groove remix-,Performed by SEGA Sound Unit [H.],154,其他游戏,,false,,,std,expert,12,12,合作だよ,400,34,10,,2,446,,,,,,maimai GreeN,115,
115,DADDY MULK -Groove remix-,Performed by SEGA Sound Unit [H.],154,其他游戏,,false,,,std,master,13+,13.8,mai-Star,739,6,38,,2,785,,,,,,maimai GreeN,115,
115,DADDY MULK -Groove remix-,Performed by SEGA Sound Unit [H.],154,其他游戏,,false,,,std,remaster,13+,13.8,ものくロシェ,798,22,71,,10,901,,,,,,maimai GreeN,115,
116,ぴぴぱぷぅ！,Hiro/小山あかり,147,舞萌,,false,,,std,basic,3,3,-,103,9,6,,5,123,,,,,,maimai PLUS,116,
116,ぴぴぱぷぅ！,Hiro/小山あかり,147,舞萌,,false,,,std,advanced,8,8.2,-,249,42,24,,8,323,,,,,,maimai PLUS,116,
116,ぴぴぱぷぅ！,Hiro/小山あかり,147,舞萌,,false,,,std,expert,11,11.2,ニャイン,273,59,37,,19,388,,,,,,maimai PLUS,116,
116,ぴぴぱぷぅ！,Hiro/小山あかり,147,舞萌,,false,,,std,master,13,13,mai-Star,366,68,59,,7,500,,,,,,maimai PLUS,116,
117,炎歌 -ほむらうた-,Hiro/森山愛子,108,舞萌,,false,,,std,basic,4,4,-,109,12,6,,5,132,,,,,,maimai PLUS,117,
117,炎歌 -ほむらうた-,Hiro/森山愛子,108,舞萌,,false,,,std,advanced,7,7.2,-,189,33,11,,5,238,,,,,,maimai PLUS,117,
117,炎歌 -ほむらうた-,Hiro/森山愛子,108,舞萌,,false,,,std,expert,12,12,譜面-100号,345,25,33,,6,409,,,,,,maimai PLUS,117,
117,炎歌 -ほむらうた-,Hiro/森山愛子,108,舞萌,,false,,,std,master,13+,13.7,はっぴー,257,33,94,,5,389,,,,,,maimai PLUS,117,
118,犬日和。,RYOHEI KOHNO/森綾香,138,舞萌,,false,,,std,basic,5,5,-,135,4,4,,7,150,,,,,,maimai PLUS,118,
118,犬日和。,RYOHEI KOHNO/森綾香,138,舞萌,,false,,,std,advanced,7,7,-,179,14,3,,26,222,,,,,,maimai PLUS,118,
118,犬日和。,RYOHEI KOHNO/森綾香,138,舞萌,,false,,,std,expert,10,10,ニャイン,302,8,4,,23,337,,,,,,maimai PLUS,118,
118,犬日和。,RYOHEI KOHNO/森綾香,138,舞萌,,false,,,std,master,12,12.4,mai-Star,356,26,8,,23,413,,,,,,maimai PLUS,118,
